OBJECTID,PHpH,ALK_MGL,COND_USCM,BOD_MGL,NO2_N_MGL,CUSOL1_MGL,CUSOL2_UGL,FESOL1_UGL,ZN_SOL_UGL
1115,7.7,95,275,2.4,0.011,0.0022,0.76,146.51,5
1147,7.5,68,225,2,0.005,0.0011,1.36,720.25,5
1148,7.8,94,274,2,0.014,0.0015,0.81,397.38,5
1523,7.8,58,176,2,0.005,0.0022,0.55,198.73,5
1555,7.6,42,136,2.4,0.005,0.001,1,728.88,5
1556,7.8,65,182,2,0.005,0.0031,0.57,573.49,5
1903,7.5,87,259,2,0.01,,1.43,211.26,5
1904,9,116,333,2,0.009,,0.74,92.24,5
1934,7.8,65,215,2,0.009,0.0012,1.49,458.88,5
1935,7.5,49,179,2,0.012,0.0022,1.89,478.69,2.74
2812,7.4,34,149,2,0.006,,1.18,286.37,5
2813,7.6,26,121,2,0.006,0.001,1.81,237.27,5
2843,7.4,26,124,2,0.008,0.0011,0.99,372.61,5
2844,7.3,19,108,2,0.007,0.0019,1.09,521.41,5.6
3434,7.5,46,164,2.3,0.012,,1.52,373.7,5
3435,8,58,200,2,0.012,,1.34,291.67,5
3465,7.5,48,182,2,0.018,0.001,2.37,541.94,5
3466,7.3,34,145,2.2,0.015,0.0016,2.59,444.76,4.05
4217,6.3,10,59,2,0.006,,0.71,1645.52,5
4218,6,10,61,2,0.006,0.001,0.34,1300.65,5
4249,6.5,10,58,,0.006,0.001,,,
4250,5.6,10,49,2.4,0.009,0.0016,0.55,997.11,11.57
4365,6.9,16,97,2,0.009,,1.39,1332.33,5
4391,6.2,10,87,2,0.016,0.0033,1.46,1630.32,8.24
4885,7.4,49,195,2,0.01,0.003,1.54,279.88,5
4911,7.5,45,204,4.8,0.024,0.0019,2.76,383.29,8.84
5104,8.1,45,140,2,0.005,,0.92,1074.9,5
5105,7.5,23,97,2,0.005,,1.05,742.13,10.07
5135,7.4,38,136,2,0.005,,0.92,1009.48,5
5136,7.4,17,81,2,0.006,0.0025,1.25,795.54,5
5388,7.2,41,169,2,0.015,,1.34,324.88,5
5389,7.1,20,105,2,0.009,0.0029,1.19,405.33,5
5419,7.4,35,152,,0.009,,1.06,464.86,5
5420,6.9,14,87,2.1,0.013,,1.47,839.45,5
5645,7.2,19,101,2,0.008,,0.9,429.34,5
5671,6.8,14,87,2.1,0.012,0.0019,1.28,872.9,8.25
6177,7.1,10,70,2,0.005,,0.83,599.85,5
6203,6.4,10,59,2,0.01,0.0026,0.7,997.88,5
6510,7,10,72,2,0.005,0.0026,0.86,537.01,5
6536,6.3,10,59,2,0.01,0.001,1.26,1095.21,11.86
6821,7.8,12,78,2,0.005,,0.58,786.39,5
6822,7,10,64,2,0.005,,0.55,839.15,5
6852,7.3,10,72,2,0.006,0.0022,0.41,1238.45,5
6853,6.4,10,54,2.5,0.011,0.0029,0.65,1194.85,11.55
7627,7.7,57,177,2,0.005,,1,418.18,5
7913,7.2,30,111,2,0.005,0.0015,1,1574.75,5
7914,7.2,18,91,2,0.005,0.0022,0.52,1462.86,5
8285,7.2,47,153,2,0.009,,1.07,798.28,5
8311,7.5,35,169,2,0.008,0.001,1.74,710.23,5
8869,7.4,55,168,2,0.005,0.001,1,1449.93,5
8870,7.1,27,113,2,0.007,0.0025,0.88,1349.95,5
9204,7.6,32,124,2.7,0.005,,0.85,241.74,5
9205,7.2,20,89,2,0.005,0.0018,1.03,382.03,5
9236,7,20,102,2,0.007,0.0015,1.75,525.69,5
9237,7.3,17,90,2,0.005,0.001,1.6,552.95,5
9536,7.4,20,84,2,0.005,0.0011,1,756.59,6.11
9844,7.4,32,114,2,0.005,0.0014,1,883.96,5
9845,7.2,22,94,2,0.005,0.0027,2.74,790.3,5
10097,6.9,17,82,2,0.005,0.0013,1.08,1118.68,5
10413,7.4,19,75,2,0.005,,1,1488.8,5
10414,7.2,12,62,2.1,0.005,0.0019,1.26,919.87,5
10699,7.7,21,83,2,0.005,,1.1,875,5
10700,8.4,40,129,2,0.005,,0.78,832,5
10730,7,12,78,2,0.008,0.0011,1.09,995,5.25
10731,6.4,8,62,2,0.008,0.0025,1.27,929,8.04
11187,7.2,23,92,2,0.005,,0.77,123.68,5
11188,7.2,11,62,2,0.005,0.001,0.88,345.4,5
11218,6.9,15,75,2,0.005,,1.51,442.16,5
11219,6.9,10,61,2,0.005,0.001,1.43,498.58,5
11742,7.1,47,156,2,0.005,0.0018,1,359.43,5
12082,7.2,29,98,2,0.005,0.0015,1,156.4,5
12681,7.8,64,231,2,0.02,,2.35,461.15,5
12682,7.7,62,247,2,0.02,0.0019,2.37,420.81,5
13562,7.7,55,193,2,0.018,0.0017,1.65,437.3,5
13563,7.6,44,169,2,0.01,0.001,1.63,625.49,5
13772,7.7,75,224,2.1,0.017,0.0034,2.42,408.25,5
14342,7.6,30,122,2,0.009,0.0014,0.47,824.01,5
14639,7.5,70,231,2,0.019,0.0012,1.97,535.47,5
14640,7.5,69,222,2,0.015,0.001,1.98,521.2,5
15045,7.6,63,213,2,0.019,,3.1,374.2,6.61
15342,7.4,75,248,2,0.026,0.0014,2.21,464.14,5
15595,7.6,74,216,2,0.009,,1.01,604.9,5
15760,7.5,32,158,2,0.013,0.0024,2.51,450.75,5
15992,7.3,39,158,2,0.018,0.0016,2,548.26,5
16157,7.4,36,166,2,0.01,0.003,1.87,450.51,5
16321,7.4,39,173,2,0.014,0.0018,3.56,517.88,5
16782,7.5,42,191,2.3,0.02,0.001,2.71,459.19,5
16783,7.4,56,209,2.4,0.019,0.0013,2.08,403.83,5
17337,7.3,38,167,2,0.016,0.0016,2.36,582.24,5
17656,7.4,49,212,2.1,0.022,0.0018,2.33,426.05,5
17657,7.3,69,241,2,0.024,0.0032,1.75,381.84,5
17832,7.4,64,265,2,0.019,,2.77,267.84,5
18100,7.7,69,233,2,0.02,0.0012,3.34,469.57,5
18264,7.2,76,260,2,0.021,0.0014,3.09,426.94,5.24
18531,7.5,50,223,2,0.026,0.0015,2.41,330.76,5
18844,7.5,56,219,2.7,0.024,0.0015,3.01,381.11,5
18845,7.4,69,237,5.6,0.019,0.0018,2.16,352.84,6.16
19176,7,58,211,2,0.018,0.0012,2.89,476.34,5
19242,7.4,33,170,2,0.022,0.0016,1.73,913.79,5
19762,7.3,54,227,2,0.024,,2.75,347.95,5
20016,7.5,54,203,2,0.018,0.0015,2.21,433.14,5
20499,7.4,55,238,2,0.024,0.0015,2.73,307.14,5
20800,7.3,49,201,2,0.016,0.001,3.13,333.97,5.26
20949,7.7,16,76,2,0.005,0.0017,1.18,334.19,5
20975,7,15,78,2,0.005,0.0016,1.73,456.39,5
21125,7.2,56,195,2,0.015,0.0016,2.37,611.06,5
21559,7.5,10,66,2,0.005,,0.33,209.1,5
21560,7.8,10,68,2,0.005,,0.34,420.02,5
21591,6.7,10,67,2,0.005,0.0027,0.4,325.42,5
21592,6.1,10,57,2,0.008,,0.34,743.18,6.22
21671,6.9,27,118,2,0.009,0.0017,1.36,967.12,5
21727,7.2,27,142,2.5,0.017,0.0014,2,797.94,6
21806,7.4,49,158,2,0.009,0.0023,1.43,628.3,5
21832,7.3,37,135,2.2,0.012,0.0028,1.56,667.17,5
